ZIP CODE ,AREA NAME,IS LOS ANGELES,Early Childhood Education,Health Education,Substance Abuse Programs,Mental Health Programs,Adult Eduction Programs,Public Child Care,Housing Community Investment,Museum and Aquarium,Number Of Highschools,Number Of Students,Number Of Dropouts,Percent Drop Out,Health Clinics,Public Health Programs,Mental Health Centers,Safe Havens,Domestic Violence Services,Mental Health Counceling,LA City Events,Unemployment Rate,Teen Pregnancy Rate,Animal Parks,Aquatic,Fitness Center,Nature_Trails,Parks_Recreation,Senior_Centers,Property.Crime,Violent.Crime,Other,Property.Crime.STD,Violent.Crime.STD,Other.Crime.STD,Housing Permits,Commercial Permits,Other Permits
90059,Watts /Willowbrook ,1,0,0,0,0,0,0,0,0,0,0,0,,1,2,14,1,2,3,1,16.2,0.027000964,0,0,1,0,13,0,24,15,4,-0.467386681,-0.413754172,-0.437111806,851,68,6
90060,Los Angeles ,1,6,0,4,3,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,16.2,0.027000964,0,0,0,0,0,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,0,0,0
90061,South Central  ,1,2,2,1,3,1,2,0,0,1,839,83.9,0.1,0,0,6,1,0,0,2,12.3,0.059266228,0,0,0,0,1,0,1,0,0,-0.482624834,-0.433871674,-0.46181441,529,88,3
90062,South Central  ,1,2,1,1,1,1,1,0,0,0,0,0,,1,0,4,0,1,1,46,10.5,0.002484472,0,0,0,0,4,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,1417,125,11
90064,Cheviot Hills /Rancho Park  ,1,1,1,1,1,1,0,0,0,0,0,0,,1,0,3,2,0,2,42,4,0,0,1,0,0,10,0,282,54,25,-0.296454362,-0.361448667,-0.307423133,3021,782,48
90065,Cypress Park /Glassell Park /Mt. Washin ,1,1,1,3,0,3,0,0,0,0,0,0,,0,0,1,2,0,1,14,8.8,0.006384677,0,1,1,1,15,0,43,15,5,-0.454798642,-0.413754172,-0.430936155,3151,457,17
90066,Mar Vista  ,1,0,0,0,0,0,0,0,0,1,3049,1097.64,0.36,0,1,8,1,0,0,25,7,0,0,2,1,1,3,0,29,7,3,-0.46407404,-0.424483507,-0.443287457,3864,610,43
90067,Century City  ,1,0,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,2257,395,143,1.012039172,0.095889208,0.421303693,795,2219,32
90068,Hollywood  ,1,0,0,0,0,0,0,0,0,1,344,0,0,0,0,0,1,0,0,0,10.4,0,0,0,0,1,3,0,0,0,0,-0.483287362,-0.433871674,-0.46181441,2977,248,15
90069,West Hollywood ,1,0,0,0,0,0,0,0,1,0,0,0,,1,0,1,1,0,1,0,6.9,0,0,0,0,0,0,0,4,0,0,-0.480637249,-0.433871674,-0.46181441,2111,173,19
