,Row.names,Health,Community.Wellness,ZIP.CODES,AREA.NAME,IS.LOS.ANGELES,Early.Childhood.Education,Health.Education,Substance.Abuse.Programs,Mental.Health.Programs,Adult.Eduction.Programs,Public.Child.Care,Housing.Community.Investment,Museum.and.Aquarium,Number.Of.Highschools,Number.Of.Students,Number.Of.Dropouts,Percent.Drop.Out,Health.Clinics,Public.Health.Programs,Mental.Health.Centers,Safe.Havens,Domestic.Violence.Services,Mental.Health.Counceling,LA.City.Events,Unemployment.Rate,Teen.Pregnancy.Rate,Animal.Parks,Aquatic,Fitness.Center,Nature_Trails,Parks_Recreation,Senior_Centers,Property.Crime,Violent.Crime,Other,Property.Crime.STD,Violent.Crime.STD,Other.Crime.STD,Housing.Permits,Commercial.Permits,Other.Permits
32,38,-1.039398085,0.052640144,91325,Northridge  ,1,18,0,5,1,1,1,0,0,4,1152,823.28,0.714652778,0,0,2,0,0,1,9,6.9,0,0,0,0,0,0,0,198,75,32,-0.352106745,-0.333284165,-0.264193576,2040,433,48
33,39,-1.178937789,0.036163413,91326,Porter Ranch  ,1,0,0,0,0,0,0,0,0,1,557,339.77,0.61,0,0,1,2,0,0,1,6.1,0,1,0,1,2,11,0,218,35,19,-0.338856177,-0.386930836,-0.34447704,3134,299,35
34,4,2.301101576,1.242995003,90012,Civic Center /Chinatown  ,1,0,0,0,0,0,0,0,3,2,630,228.57,0.362809524,4,3,3,2,2,3,101,6.7,0.035874439,0,0,0,2,13,0,7335,4254,793,4.376358241,5.271451851,4.435476886,1021,1942,204
35,40,0.393865156,-0.16571711,91331,Arleta /Pacoima  ,1,2,4,4,2,0,2,2,0,3,6393,1230.83,0.192527765,2,0,8,2,1,5,55,11.8,0.024669379,0,2,2,0,15,0,419,214,53,-0.205687975,-0.146861981,-0.134504903,5059,613,48
36,41,0.393865156,-0.16571711,91331,Arleta /Pacoima  ,1,1,2,2,2,1,1,0,0,3,6393,1230.83,0.192527765,2,0,8,2,1,5,55,11.8,0.024669379,0,2,2,0,15,0,419,214,53,-0.205687975,-0.146861981,-0.134504903,5059,613,48
37,42,-0.454046172,-0.042918686,91335,Reseda  ,1,0,0,0,0,0,0,0,0,1,3278,0,0,1,0,4,1,1,2,43,7.1,0.020816327,0,3,0,0,4,0,731,264,73,0.001020877,-0.079803642,-0.010991882,3726,466,43
38,43,-0.915132985,0.012705267,91344,Granada Hills  ,1,5,1,1,1,0,2,0,0,1,4480,0,0,0,0,7,2,1,0,52,7.6,0,0,1,0,1,6,0,630,171,59,-0.065894488,-0.204532153,-0.097450997,3966,316,40
39,44,-0.975811489,-0.043517881,91356,Tarzana  ,1,3,3,0,0,0,2,0,0,1,162,0,0,0,0,2,2,0,2,10,6.5,0,0,0,0,0,4,0,1455,424,153,0.480691418,0.134783045,0.483060203,2663,432,35
40,45,0.731492189,-0.108053005,91401,Van Nuys  ,1,0,0,0,0,0,0,0,0,1,2594,856.02,0.33,1,2,5,2,2,7,63,8.3,0.046296296,0,0,0,0,0,1,1496,741,232,0.507855081,0.559932917,0.970936638,2549,318,28
41,46,-1.088233995,-0.125300775,91402,Panorama City  ,1,2,1,0,0,3,0,0,0,2,2777,791.74,0.28510623,0,0,2,3,0,1,36,11.2,0.032622334,0,1,0,0,9,2,31,8,3,-0.462748983,-0.42314234,-0.443287457,2269,677,60
